event_date,bond_code,Y,prob_proposal,signal_buy,pnl,cumulative_pnl
2025-03-12,128108.SZ,0,0.5446584,0,0.0,0.036000000000000004
2025-03-12,123179.SZ,0,0.05698694,0,0.0,0.036000000000000004
2025-03-13,110081.SH,0,0.22614086,0,0.0,0.036000000000000004
2025-03-13,118033.SH,0,0.08950303,0,0.0,0.036000000000000004
2025-03-13,127033.SZ,0,0.4885445,0,0.0,0.036000000000000004
2025-03-13,127062.SZ,0,0.10993306,0,0.0,0.036000000000000004
2025-03-14,113545.SH,0,0.42015475,0,0.0,0.036000000000000004
2025-03-14,113658.SH,0,0.29869065,0,0.0,0.036000000000000004
2025-03-14,123214.SZ,0,0.3611201,0,0.0,0.036000000000000004
2025-03-17,113680.SH,0,0.17799552,0,0.0,0.036000000000000004
2025-03-18,110086.SH,0,0.09555697,0,0.0,0.036000000000000004
2025-03-18,118000.SH,0,0.5883341,0,0.0,0.036000000000000004
2025-03-18,118031.SH,0,0.3623729,0,0.0,0.036000000000000004
2025-03-19,127098.SZ,0,0.37352687,0,0.0,0.036000000000000004
2025-03-25,113670.SH,0,0.11631671,0,0.0,0.036000000000000004
2025-03-26,127090.SZ,0,0.0902163,0,0.0,0.036000000000000004
2025-03-26,123233.SZ,0,0.07409736,0,0.0,0.036000000000000004
2025-03-27,118007.SH,0,0.17292425,0,0.0,0.036000000000000004
2025-03-27,118029.SH,0,0.11200739,0,0.0,0.036000000000000004
2025-03-28,111004.SH,0,0.10304265,0,0.0,0.036000000000000004
2025-03-28,127027.SZ,0,0.18755837,0,0.0,0.036000000000000004
2025-03-31,127069.SZ,0,0.10059493,0,0.0,0.036000000000000004
2025-04-01,113643.SH,0,0.15736435,0,0.0,0.036000000000000004
2025-04-01,127089.SZ,1,0.06850473,0,0.0,0.036000000000000004
2025-04-02,110070.SH,1,0.31588957,0,0.0,0.036000000000000004
2025-04-02,118008.SH,1,0.16070215,0,0.0,0.036000000000000004
2025-04-02,123156.SZ,1,0.1541437,0,0.0,0.036000000000000004
2025-04-03,127062.SZ,0,0.114615954,0,0.0,0.036000000000000004
2025-04-03,127033.SZ,0,0.6378527,0,0.0,0.036000000000000004
2025-04-03,118033.SH,0,0.07706774,0,0.0,0.036000000000000004
2025-04-03,110092.SH,0,0.45159814,0,0.0,0.036000000000000004
2025-04-03,110081.SH,0,0.4886683,0,0.0,0.036000000000000004
2025-04-03,113618.SH,0,0.3489158,0,0.0,0.036000000000000004
2025-04-07,123039.SZ,0,0.35632873,0,0.0,0.036000000000000004
2025-04-08,118011.SH,0,0.06125292,0,0.0,0.036000000000000004
2025-04-08,127038.SZ,0,0.40433535,0,0.0,0.036000000000000004
2025-04-09,127080.SZ,0,0.31536254,0,0.0,0.036000000000000004
2025-04-09,110086.SH,0,0.12608257,0,0.0,0.036000000000000004
2025-04-09,113623.SH,0,0.23246878,0,0.0,0.036000000000000004
2025-04-09,118000.SH,0,0.58378655,0,0.0,0.036000000000000004
2025-04-09,118031.SH,0,0.28018185,0,0.0,0.036000000000000004
2025-04-11,127103.SZ,0,0.47786757,0,0.0,0.036000000000000004
2025-04-11,118034.SH,0,0.23997526,0,0.0,0.036000000000000004
2025-04-11,111000.SH,0,0.6226862,0,0.0,0.036000000000000004
2025-04-11,118010.SH,0,0.1232613,0,0.0,0.036000000000000004
2025-04-14,110089.SH,0,0.15119758,0,0.0,0.036000000000000004
2025-04-14,128128.SZ,0,0.52261895,0,0.0,0.036000000000000004
2025-04-15,123250.SZ,0,0.2413582,0,0.0,0.036000000000000004
2025-04-16,113650.SH,0,0.43937567,0,0.0,0.036000000000000004
2025-04-16,113670.SH,0,0.13707072,0,0.0,0.036000000000000004
2025-04-16,123194.SZ,0,0.23329191,0,0.0,0.036000000000000004
2025-04-17,118025.SH,0,0.10960061,0,0.0,0.036000000000000004
2025-04-18,118015.SH,0,0.093967564,0,0.0,0.036000000000000004
2025-04-18,111005.SH,0,0.4327425,0,0.0,0.036000000000000004
2025-04-18,113593.SH,0,0.34103683,0,0.0,0.036000000000000004
2025-04-18,118007.SH,0,0.17849606,0,0.0,0.036000000000000004
2025-04-18,118029.SH,0,0.20521802,0,0.0,0.036000000000000004
2025-04-22,123085.SZ,1,0.4743033,0,0.0,0.036000000000000004
2025-04-23,123122.SZ,0,0.15816547,0,0.0,0.036000000000000004
2025-04-23,127026.SZ,0,0.2832821,0,0.0,0.036000000000000004
2025-04-24,110095.SH,0,0.30685586,0,0.0,0.036000000000000004
2025-04-24,113597.SH,0,0.2673058,0,0.0,0.036000000000000004
2025-04-24,113634.SH,0,0.17699134,0,0.0,0.036000000000000004
2025-04-24,113643.SH,1,0.119803354,0,0.0,0.036000000000000004
2025-04-24,113673.SH,0,0.23729195,0,0.0,0.036000000000000004
2025-04-24,123158.SZ,0,0.09024632,0,0.0,0.036000000000000004
2025-04-25,113661.SH,0,0.059124142,0,0.0,0.036000000000000004
2025-04-25,113046.SH,0,0.20874125,0,0.0,0.036000000000000004
2025-04-25,118033.SH,0,0.05832008,0,0.0,0.036000000000000004
2025-04-25,110076.SH,0,0.35290465,0,0.0,0.036000000000000004
2025-04-25,111015.SH,0,0.29373187,0,0.0,0.036000000000000004
2025-04-25,118052.SH,0,0.044925015,0,0.0,0.036000000000000004
2025-04-28,128138.SZ,0,0.7223699,1,-0.002,0.034
2025-04-28,127107.SZ,0,0.19574623,0,0.0,0.034
2025-04-28,127016.SZ,0,0.24874043,0,0.0,0.034
2025-04-28,118027.SH,0,0.31492,0,0.0,0.034
2025-04-28,113601.SH,0,0.56018776,0,0.0,0.034
2025-04-28,110090.SH,0,0.15687631,0,0.0,0.034
2025-04-29,111001.SH,0,0.15210521,0,0.0,0.034
2025-04-29,113624.SH,0,0.31830895,0,0.0,0.034
2025-04-29,118024.SH,0,0.102411814,0,0.0,0.034
2025-04-29,123236.SZ,1,0.1183084,0,0.0,0.034
2025-04-29,127075.SZ,1,0.08229326,0,0.0,0.034
2025-04-29,128134.SZ,0,0.21567042,0,0.0,0.034
2025-04-30,110086.SH,0,0.105891794,0,0.0,0.034
2025-04-30,111002.SH,0,0.2644612,0,0.0,0.034
2025-04-30,118000.SH,0,0.4269358,0,0.0,0.034
2025-04-30,118031.SH,0,0.46194023,0,0.0,0.034
2025-05-06,127080.SZ,0,0.56181234,0,0.0,0.034
2025-05-06,123144.SZ,0,0.28077084,0,0.0,0.034
2025-05-07,111000.SH,0,0.6650426,0,0.0,0.034
2025-05-07,127030.SZ,0,0.40580213,0,0.0,0.034
2025-05-07,128108.SZ,0,0.38234034,0,0.0,0.034
2025-05-08,127068.SZ,0,0.2580634,0,0.0,0.034
2025-05-09,113064.SH,0,0.19456358,0,0.0,0.034
2025-05-09,113610.SH,0,0.3838152,0,0.0,0.034
2025-05-09,123126.SZ,0,0.17764743,0,0.0,0.034
2025-05-09,123150.SZ,0,0.36351004,0,0.0,0.034
2025-05-12,113652.SH,0,0.230584,0,0.0,0.034
2025-05-12,123172.SZ,0,0.21809714,0,0.0,0.034
2025-05-12,127089.SZ,0,0.14605886,0,0.0,0.034
2025-05-14,118029.SH,0,0.2197128,0,0.0,0.034
2025-05-14,118012.SH,0,0.2799659,0,0.0,0.034
2025-05-14,118007.SH,0,0.18258631,0,0.0,0.034
2025-05-15,110073.SH,0,0.4137739,0,0.0,0.034
2025-05-15,118014.SH,1,0.42482856,0,0.0,0.034
2025-05-16,113653.SH,0,0.14775531,0,0.0,0.034
2025-05-16,123192.SZ,0,0.2706505,0,0.0,0.034
2025-05-21,110081.SH,0,0.22307703,0,0.0,0.034
2025-05-21,113636.SH,0,0.3379178,0,0.0,0.034
2025-05-21,118020.SH,0,0.24728286,0,0.0,0.034
2025-05-21,127060.SZ,0,0.24777374,0,0.0,0.034
2025-05-21,127061.SZ,0,0.462606,0,0.0,0.034
2025-05-21,127062.SZ,0,0.22242709,0,0.0,0.034
2025-05-23,113579.SH,0,0.27457097,0,0.0,0.034
2025-05-26,127044.SZ,0,0.39102486,0,0.0,0.034
2025-05-26,123197.SZ,0,0.22405954,0,0.0,0.034
2025-05-26,118040.SH,0,0.1155322,0,0.0,0.034
2025-05-26,118000.SH,0,0.3494371,0,0.0,0.034
2025-05-26,110086.SH,0,0.12409941,0,0.0,0.034
2025-05-26,118031.SH,0,0.5436519,0,0.0,0.034
2025-05-27,113589.SH,0,0.395963,0,0.0,0.034
2025-05-27,127080.SZ,0,0.5893424,0,0.0,0.034
2025-05-28,111000.SH,0,0.5414957,0,0.0,0.034
2025-05-28,123072.SZ,0,0.5735823,0,0.0,0.034
2025-05-28,123183.SZ,0,0.34028998,0,0.0,0.034
2025-05-28,128108.SZ,0,0.45974466,0,0.0,0.034
2025-05-30,113610.SH,0,0.41035402,0,0.0,0.034
2025-05-30,127064.SZ,1,0.35274416,0,0.0,0.034
2025-06-03,123185.SZ,0,0.34345344,0,0.0,0.034
2025-06-03,123216.SZ,0,0.15144676,0,0.0,0.034
2025-06-05,118007.SH,0,0.21100737,0,0.0,0.034
2025-06-05,118055.SH,0,0.15550643,0,0.0,0.034
2025-06-09,113639.SH,0,0.14335008,0,0.0,0.034
2025-06-11,110064.SH,1,0.4586675,0,0.0,0.034
2025-06-12,110081.SH,0,0.2826408,0,0.0,0.034
2025-06-12,127061.SZ,0,0.2519311,0,0.0,0.034
2025-06-12,127062.SZ,0,0.22205257,0,0.0,0.034
2025-06-13,113053.SH,0,0.20287189,0,0.0,0.034
2025-06-16,110095.SH,0,0.098998934,0,0.0,0.034
2025-06-16,113682.SH,0,0.13752475,0,0.0,0.034
2025-06-17,118000.SH,0,0.36938527,0,0.0,0.034
2025-06-17,118031.SH,0,0.50791836,0,0.0,0.034
2025-06-17,118032.SH,0,0.2337873,0,0.0,0.034
2025-06-18,127080.SZ,0,0.5591018,0,0.0,0.034
2025-06-19,123090.SZ,0,0.20765707,0,0.0,0.034
2025-06-19,118027.SH,0,0.5285692,0,0.0,0.034
2025-06-19,113597.SH,1,0.55013174,0,0.0,0.034
2025-06-19,113047.SH,1,0.5207005,0,0.0,0.034
2025-06-19,111000.SH,0,0.39392167,0,0.0,0.034
2025-06-20,123253.SZ,0,0.42259386,0,0.0,0.034
2025-06-20,127077.SZ,0,0.23844929,0,0.0,0.034
2025-06-20,128108.SZ,1,0.33604413,0,0.0,0.034
2025-06-23,111004.SH,0,0.13738382,0,0.0,0.034
2025-06-23,113610.SH,0,0.5856755,0,0.0,0.034
2025-06-24,113616.SH,0,0.39561734,0,0.0,0.034
2025-06-24,127071.SZ,0,0.3168256,0,0.0,0.034
2025-06-27,113633.SH,0,0.17943384,0,0.0,0.034
2025-06-27,118007.SH,1,0.20510161,0,0.0,0.034
2025-06-27,123039.SZ,0,0.40698886,0,0.0,0.034
2025-06-27,127042.SZ,0,0.20031163,0,0.0,0.034
2025-06-30,127022.SZ,0,0.35182405,0,0.0,0.034
2025-07-03,110081.SH,0,0.3591422,0,0.0,0.034
2025-07-03,127061.SZ,0,0.29059875,0,0.0,0.034
2025-07-04,113049.SH,0,0.3990213,0,0.0,0.034
2025-07-04,113545.SH,0,0.38542065,0,0.0,0.034
2025-07-04,113638.SH,0,0.28895208,0,0.0,0.034
2025-07-04,118005.SH,0,0.15247992,0,0.0,0.034
2025-07-04,118034.SH,0,0.10117579,0,0.0,0.034
2025-07-04,127089.SZ,1,0.15083776,0,0.0,0.034
2025-07-04,128097.SZ,0,0.2899359,0,0.0,0.034
2025-07-08,118031.SH,0,0.44579545,0,0.0,0.034
2025-07-08,118042.SH,0,0.07878384,0,0.0,0.034
2025-07-08,127064.SZ,0,0.4449813,0,0.0,0.034
2025-07-09,127080.SZ,0,0.583682,0,0.0,0.034
2025-07-09,123172.SZ,0,0.16443045,0,0.0,0.034
2025-07-10,110085.SH,0,0.4135391,0,0.0,0.034
2025-07-10,111000.SH,0,0.40631148,0,0.0,0.034
2025-07-10,111014.SH,0,0.16656475,0,0.0,0.034
2025-07-10,127098.SZ,0,0.16091475,0,0.0,0.034
2025-07-11,123155.SZ,0,0.20697682,0,0.0,0.034
2025-07-11,123165.SZ,0,0.16260111,0,0.0,0.034
