event_date,Y,bond_code,W1,W2,W3,W4a,W5,W6,W7a,W8,W9
2023-01-18,0,127019.SZ,-0.0076132914982736,0.385593,0,0,0,0,0,3.488,0.70389
2023-01-20,0,111001.SH,0.0694138333201408,1.43883,1,1,0,1,0,4.7995,0.06985
2023-01-30,0,113624.SH,0.0219658315181732,2.757633,0,1,0,0,0,4.2409,0.03759
2023-01-30,0,127062.SZ,-0.089470088481903,1.953315,0,1,0,1,0,5.2238,0.33333
2023-02-08,0,127004.SZ,0.0266022607684135,0.912663,0,1,0,0,0,0.3121,0.66586
2023-02-08,0,128105.SZ,0.3673861026763916,0.95134,0,1,0,0,0,3.165,0.35801
2023-02-10,0,113593.SH,-0.0376020669937133,2.968734,0,1,0,0,0,3.4387,0.06965
2023-02-10,0,113596.SH,0.2014910131692886,1.634339,0,1,0,0,1,3.4606,0.31933
2023-02-16,0,128026.SZ,0.0860693156719207,3.36052,0,1,1,0,0,0.8214,0.80533
2023-02-21,0,123122.SZ,-0.1121033057570457,5.407982,0,1,0,1,0,4.4545,0.34551
2023-02-21,1,128114.SZ,0.2635700702667236,0.220344,0,1,1,0,1,3.3183,0.01752
2023-02-22,0,128074.SZ,-0.0057278298772871,2.85771,1,0,0,0,0,2.5845,0.36015
2023-02-22,0,127044.SZ,-0.0292440969496965,1.396954,0,0,0,1,0,4.4791,0.57353
2023-02-24,0,113578.SH,0.2424664497375488,0.925173,0,1,0,0,1,3.1513,0.03284
2023-02-24,0,123106.SZ,-0.1008395925164222,3.120984,0,1,0,0,0,4.0767,0.30562
2023-02-24,0,123132.SZ,-0.0403979122638702,2.223688,0,1,0,1,0,4.8104,0.47955
2023-02-24,0,128036.SZ,0.0601262189447879,0.864644,1,1,0,1,0,1.0376,0.14456
2023-02-27,0,128023.SZ,-0.137128934264183,1.64215,0,0,0,0,0,0.7666,0.88122
2023-02-28,0,113569.SH,-0.0337338969111442,2.148427,0,1,0,0,0,3.0253,0.3553
2023-02-28,0,123142.SZ,-0.1138911172747612,4.565181,0,1,0,1,0,5.0513,0.61792
2023-03-01,0,127004.SZ,0.0266022607684135,0.912663,0,1,0,0,0,0.2546,0.70353
2023-03-02,0,113046.SH,-0.0865776091814041,1.627425,0,0,0,0,0,4.0548,0.17802
2023-03-03,0,127066.SZ,-0.0603592209517955,1.296534,0,0,0,1,0,5.3498,0.56934
2023-03-07,0,110076.SH,-0.1651797741651535,1.673004,0,0,0,1,0,3.6578,0.49909
2023-03-07,0,110082.SH,-0.0842169746756553,2.928616,0,0,0,1,0,4.6434,0.18831
2023-03-08,0,128108.SZ,-0.1652906090021133,2.122772,0,0,0,1,0,3.2225,0.08702
2023-03-09,0,123039.SZ,-0.0744750350713729,1.555289,0,1,1,0,0,2.8008,0.25
2023-03-09,0,118004.SH,-0.1479524075984954,2.240482,0,1,0,0,0,4.8241,0.69697
2023-03-10,0,113574.SH,-0.1477206647396087,2.001128,0,1,0,0,0,3.0582,0.37374
2023-03-10,0,113584.SH,-0.0002827920543495,0.709921,0,0,0,0,0,3.2389,0.27217
2023-03-10,0,113601.SH,0.1191544607281684,1.729046,0,1,0,0,0,3.4497,0.0871
2023-03-10,0,127041.SZ,-0.0698850750923156,5.024468,0,1,0,1,0,3.3402,0.43008
2023-03-13,0,113527.SH,0.172503650188446,1.488074,0,0,1,0,0,1.87,0.62449
2023-03-13,0,123064.SZ,-0.1143252104520797,3.11604,0,0,1,0,0,3.4716,0.1098
2023-03-14,0,123126.SZ,-0.0501480624079704,1.764732,0,1,0,1,0,4.4928,0.10324
2023-03-15,0,128063.SZ,0.096575029194355,1.741208,0,1,0,1,0,2.0534,0.21254
2023-03-16,0,110062.SH,-0.0326087959110736,1.464288,1,0,1,1,0,2.7159,0.32304
2023-03-16,0,110072.SH,0.0158975720405578,1.190396,0,0,0,0,1,3.4251,0.18968
2023-03-16,0,113652.SH,0.2073828727006912,1.884925,0,0,0,1,0,5.3525,0.07914
2023-03-17,0,128035.SZ,-0.1393375247716903,1.990631,0,0,0,0,0,0.8925,0.09255
2023-03-17,0,127022.SZ,-0.0182712189853191,0.799468,0,0,0,0,0,3.5838,0.16489
2023-03-17,0,110073.SH,0.0698051080107688,1.272112,1,0,0,0,0,3.3539,0.28065
2023-03-17,0,123093.SZ,-0.1012403890490531,2.782061,0,1,0,0,0,3.8439,0.19721
2023-03-20,0,123138.SZ,-0.0972614735364914,2.043552,0,1,0,1,0,4.9528,0.87395
2023-03-21,0,110064.SH,-0.0399760119616985,1.031007,1,0,0,0,0,2.7515,0.59477
2023-03-21,0,113606.SH,-0.128257542848587,2.304168,0,1,0,0,0,3.6112,0.24733
2023-03-21,0,113616.SH,0.0511410981416702,2.073185,0,0,0,0,0,3.7728,0.13514
2023-03-21,0,113627.SH,-0.062121208757162,1.707451,0,0,0,1,0,4.3176,0.42526
2023-03-21,0,113633.SH,-0.1431083530187606,2.004842,0,0,0,0,0,4.6954,0.33904
2023-03-21,0,118026.SH,-0.095015212893486,1.293285,0,1,0,0,0,5.5962,0.02564
2023-03-22,0,127004.SZ,0.0266022607684135,0.912663,0,1,0,0,0,0.1971,0.62629
2023-03-24,0,118008.SH,-0.0203577689826488,1.750437,0,1,0,1,0,5.2512,0.26708
2023-03-24,0,118014.SH,-0.0905625894665718,1.334582,0,1,0,1,0,5.3196,0.02069
2023-03-24,0,118031.SH,-0.0992374867200851,1.121388,0,0,0,0,0,5.8946,0.5
2023-03-27,0,128071.SZ,-0.0723742172122001,1.310152,0,0,0,0,0,2.3901,0.21387
2023-03-27,0,113605.SH,-0.0376227237284183,1.162261,0,0,0,1,0,3.5729,0.36602
2023-03-28,0,113638.SH,-0.0400523245334625,1.422577,0,0,0,1,0,4.7556,0.52669
2023-03-28,0,127051.SZ,-0.1725576519966125,5.296857,0,1,1,0,0,4.6407,0.69836
2023-03-30,0,128097.SZ,-0.1379420161247253,1.843073,0,1,0,1,0,2.9103,0.19619
2023-03-31,0,113596.SH,0.2014910131692886,1.634339,0,1,0,0,1,3.3265,0.51111
